PERNO,GRADE,DEPT_CD,DPAY,DA,PAY_ADJMT,DA_ADJMT,PP,APAY,INCENTIVE,HRA,FUEL_SUB,ATS,CPF_PC,VPF,ITAX,CESS,CESS_ADDL,PTAX,CCA,SESBF,CANTEEN,RENT,ELEC,CONS,CPF_PR,CPF_IR,CPF_CC,EPS,GPAY,DEDN,NPAY,
710752,E6,50,61290,96409,0,0,0,0,0,0,0,0,18924,25000,23782,950,0,0,0,3154,0,0,0,0,0,0,18924,0,180592,63352,117240,
711074,E6,10,56410,88733,0,0,0,0,0,0,0,0,17417,0,13088,516,0,0,0,2903,0,0,0,0,0,0,16167,1250,165792,39991,125801,
711209,E5,10,48640,76511,0,0,0,0,0,0,0,0,15018,0,19176,768,0,0,0,2503,0,195,570,2,0,8000,13768,1250,142375,46567,95808,
711214,E7,81,72460,113980,0,0,0,0,0,0,0,0,22373,0,29641,1188,0,0,0,3729,0,0,0,0,12500,0,21123,1250,213022,73527,139495,
711221,E2,85,30880,48574,0,0,0,0,0,0,0,0,9534,1000,11551,465,0,0,0,1589,0,143,475,100,0,0,8284,1250,92259,25741,66518,
711242,E2,10,30880,48574,0,0,0,0,0,0,0,0,9534,5000,6712,267,0,0,0,1589,0,143,475,1,0,0,8284,1250,90315,22387,67928,
711256,E4,83,38160,60026,0,0,0,0,0,0,0,0,11782,10000,0,0,0,0,0,1964,0,0,0,0,0,0,10532,1250,111126,21296,89830,
711261,E2,10,30880,48574,0,0,0,0,0,0,0,180,9534,4500,4512,181,0,0,0,1589,0,0,0,0,0,0,8284,1250,90495,18614,71881,
711312,E2,51,29980,47159,0,0,0,0,0,0,0,0,9257,2000,6183,247,0,0,0,1543,0,143,475,1,0,0,8007,1250,93627,23059,70568,
711326,E6,10,56340,88623,0,0,0,0,0,0,0,0,17396,0,41981,1675,0,0,0,2899,0,208,608,1,20000,0,16146,1250,165729,84024,81705,
711352,E2,81,29980,47159,0,0,0,0,0,0,0,0,9257,0,7572,298,0,0,0,1543,0,143,475,0,7000,0,8007,1250,87031,24405,62626,
