PERNO,GRADE,DEPT_CD,DPAY,DA,PAY_ADJMT,DA_ADJMT,PP,APAY,INCENTIVE,HRA,FUEL_SUB,ATS,CPF_PC,VPF,ITAX,CESS,CESS_ADDL,PTAX,CCA,SESBF,CANTEEN,RENT,ELEC,CONS,CPF_PR,CPF_IR,CPF_CC,EPS,GPAY,DEDN,NPAY,
710752,E6,50,61290,93161,0,0,0,0,0,0,0,0,18534,25000,34597,1385,0,0,0,3089,0,0,0,0,0,0,17284,1250,177344,83345,93999,
711074,E6,10,56410,85743,0,0,0,0,0,0,0,0,17058,0,27557,1102,0,0,0,2843,0,0,0,0,0,0,15808,1250,162802,46102,116700,
711209,E5,10,48640,73933,0,0,0,0,0,0,0,0,14709,0,23654,946,0,0,0,2451,0,195,570,2,4000,4000,13459,1250,139797,48846,90951,
711214,E7,81,72460,110139,0,0,0,0,0,0,0,0,21912,10000,40249,1610,0,0,0,3652,0,0,0,0,12500,0,20662,1250,209181,94019,115162,
711221,E2,85,30880,46938,0,0,0,0,0,0,0,0,9338,1000,6852,275,0,0,0,1556,0,0,0,0,0,0,8088,1250,90623,18764,71859,
711242,E2,10,30880,46938,0,0,0,0,0,0,0,90,9338,5000,9887,397,0,0,0,1556,0,143,475,1,0,0,8088,1250,88769,25513,63256,
711256,E4,83,38160,58003,0,0,0,0,0,0,0,0,11540,10000,1808,73,0,0,0,1923,0,0,0,0,0,0,10290,1250,109103,22894,86209,
711261,E2,10,30880,46938,0,0,0,0,0,0,0,180,9338,4500,7858,316,0,0,0,1556,0,0,0,0,0,0,8088,1250,88859,21866,66993,
711312,E2,51,29980,45570,0,0,0,0,0,0,0,0,9066,2000,9301,374,0,0,0,1511,0,143,475,1,0,0,7816,1250,92038,27056,64982,
711326,E6,10,56340,85637,0,0,0,0,0,0,0,0,17037,0,35586,1425,0,0,0,2840,0,208,608,1,20000,0,15787,1250,162743,81415,81328,
711352,E2,81,29980,45570,0,0,0,0,0,0,0,0,9066,0,7242,289,0,0,0,1511,0,143,475,0,7000,0,7816,1250,85442,25162,60280,
711368,E2,10,29980,45570,0,0,0,0,0,0,0,0,9066,0,8742,350,0,0,0,1511,0,143,475,1,0,0,7816,1250,84842,18837,66005,
711373,E2,60,29980,45570,0,0,0,0,0,0,0,180,9066,0,7511,302,0,0,0,1511,0,143,456,1,7000,0,7816,1250,86222,24473,61749,
711389,E2,44,29980,45570,0,0,0,0,0,0,0,0,9066,0,9199,368,0,0,0,1511,0,143,475,1,0,0,7816,1250,84842,18812,66030,
711401,E2,83,29980,45570,0,0,0,0,0,0,0,0,9066,5000,7333,294,0,0,0,1511,0,0,0,0,0,0,7816,1250,86742,21547,65195,
711417,E3,60,35960,54659,0,0,0,0,0,0,0,90,10874,0,11511,461,0,0,0,1812,0,0,0,0,0,0,9624,1250,103701,27307,76394,
711443,E3,44,34910,53063,0,0,0,0,0,0,0,0,10557,5000,13965,558,0,0,0,1759,0,163,475,0,16700,0,9307,1250,100482,48061,52421,
711464,E6,81,60050,91276,0,0,0,0,0,12010,0,0,18159,0,31900,1277,0,0,0,3027,0,0,0,0,11000,0,16909,1250,184458,63884,120574,
711471,E3,10,35960,54659,0,0,0,0,0,0,0,0,10874,6000,14326,573,0,0,0,1812,0,143,475,1,6000,0,9624,1250,105711,39488,66223,
711485,E4,82,39310,59751,0,0,0,0,0,0,0,0,11887,0,13080,522,0,0,0,1981,0,163,475,1,6400,0,10637,1250,112707,36039,76668,
