PERNO,GRADE,DEPT_CD,DPAY,DA,PAY_ADJMT,DA_ADJMT,PP,APAY,INCENTIVE,HRA,FUEL_SUB,ATS,CPF_PC,VPF,ITAX,CESS,CESS_ADDL,PTAX,CCA,SESBF,CANTEEN,RENT,ELEC,CONS,CPF_PR,CPF_IR,CPF_CC,EPS,GPAY,DEDN,NPAY,
737172,S3,32,23236,13337,0,0,0,0,640,0,300,810,4389,0,0,0,0,0,75,731,557,0,0,0,5200,0,3139,1250,40489,13284,27205,
737186,S3,81,23236,13337,0,0,0,0,320,0,300,0,4389,3000,0,0,0,0,75,731,521,143,420,1,0,0,3139,1250,39308,8293,31015,
737209,S3,75,23236,13337,0,0,0,0,544,2389,300,0,4389,2000,0,0,0,0,75,731,557,0,0,0,0,0,3139,1250,41972,12098,29874,
737214,S3,42,23236,13337,0,0,0,0,640,0,300,0,4389,2000,0,0,0,0,75,731,569,150,360,1,0,14197,3139,1250,39691,26526,13165,
737235,S3,83,23236,13337,0,0,0,0,320,0,300,0,4389,10000,0,0,0,0,75,731,545,110,420,1,0,0,4389,0,39307,15650,23657,
737242,S3,78,23236,13337,-375,-215,0,0,473,0,300,0,4318,0,0,0,0,0,75,720,509,138,360,1,7250,0,3068,1250,38737,19895,18842,
737261,S3,44,23236,13337,0,0,0,0,640,2389,300,0,4389,10000,0,0,0,0,75,731,545,0,0,0,0,0,3139,1250,42056,14720,27336,
737277,S3,72,23236,13337,0,0,0,0,544,2252,300,0,4389,3000,0,0,0,0,75,731,557,0,0,0,0,0,3139,1250,41835,7220,34615,
737298,S3,12,20054,11511,0,0,0,0,640,0,300,990,3788,0,0,0,0,0,0,631,569,143,420,1,4500,0,2538,1250,35407,17007,18400,
737305,S2,32,18903,10850,0,0,0,0,560,0,300,990,3570,1000,0,0,0,0,0,595,557,138,360,1,0,0,2320,1250,33434,11043,22391,
737312,S1,12,15830,9086,0,0,0,0,440,0,300,0,2990,0,0,0,0,0,0,498,593,86,340,1,0,0,1740,1250,27339,4298,23041,
737326,S4,14,18358,10537,0,0,0,0,720,0,300,990,3467,2000,0,0,0,0,0,578,533,143,420,1,0,0,2217,1250,32679,6448,26231,
737331,S4,27,18358,10537,0,0,0,0,720,0,300,1080,3467,0,0,0,0,0,0,578,569,143,420,1,0,0,2217,1250,32805,9520,23285,
737347,S3,32,17823,10230,0,0,0,0,640,0,300,990,3366,4000,0,0,0,0,0,561,557,0,0,0,0,0,2116,1250,31749,7527,24222,
737352,S3,85,17304,9932,0,0,0,0,544,0,300,0,3268,0,0,0,0,0,0,545,569,150,440,1,0,0,2018,1250,29827,6239,23588,
737368,S3,82,17304,9932,0,0,0,0,185,0,300,0,3268,500,0,0,0,0,0,545,473,146,360,1,0,0,2018,1250,29232,8726,20506,
737373,S3,44,17304,9932,0,0,0,0,544,0,300,0,3268,0,0,0,0,0,0,545,557,148,420,1,0,0,2018,1250,29815,7213,22602,
737389,S3,67,17304,9932,0,0,0,0,333,0,300,0,3268,0,0,0,0,0,0,545,437,143,420,1,0,0,2018,1250,29484,5504,23980,
