PERNO,GRADE,DEPT_CD,DPAY,DA,PAY_ADJMT,DA_ADJMT,PP,APAY,INCENTIVE,HRA,FUEL_SUB,ATS,CPF_PC,VPF,ITAX,CESS,CESS_ADDL,PTAX,CCA,SESBF,CANTEEN,RENT,ELEC,CONS,CPF_PR,CPF_IR,CPF_CC,EPS,GPAY,DEDN,NPAY,
710752,E6,50,59500,82586,0,0,0,0,0,0,0,0,17050,4000,29082,1164,0,0,0,2842,0,0,0,0,0,10000,15800,1250,165156,65878,99278,
711074,E6,10,54760,76007,0,0,0,0,0,0,0,0,15692,0,25033,1002,0,0,0,2615,0,0,0,0,0,0,14442,1250,151657,48332,103325,
711209,E5,20,47220,65541,0,0,0,0,0,0,0,0,13531,0,18669,747,0,0,0,2255,0,195,570,2,8000,0,12281,1250,130182,43725,86457,
711214,E7,81,70340,97632,0,0,0,0,0,0,0,0,20157,10000,32762,1311,0,0,0,3359,0,0,0,0,12500,0,18907,1250,194622,85631,108991,
711242,E2,10,29980,41612,0,0,0,0,0,0,0,0,8591,5000,5993,240,0,0,0,1432,0,143,475,1,0,0,7341,1250,82584,21086,61498,
711256,E3,83,35960,49912,0,0,0,0,0,0,0,0,10305,0,9311,373,0,0,0,1717,0,160,608,1,0,0,9055,1250,98596,21292,77304,
711261,E2,10,29980,41612,0,0,0,0,0,0,0,315,8591,4500,5897,236,0,0,0,1432,0,0,0,0,0,0,7341,1250,82899,19499,63400,
711312,E2,51,29100,40391,0,0,0,0,0,0,0,0,8339,0,5973,239,0,0,0,1390,0,143,475,1,0,0,7089,1250,85942,17058,68884,
711326,E5,10,53090,73689,0,0,0,0,0,0,0,0,15213,10000,23761,951,0,0,0,2536,0,208,608,1,20000,0,13963,1250,147050,71780,75270,
711347,E7,82,75190,104364,0,0,0,0,0,0,0,0,21546,10000,43839,1754,0,0,0,3591,0,338,665,2,0,0,21546,0,210838,87526,123312,
711352,E1,81,26420,36671,0,0,0,0,0,0,0,0,7571,0,2532,102,0,0,0,1262,0,143,475,0,0,0,6321,1250,72095,10781,61314,
711368,E1,44,26420,36671,0,0,0,0,0,0,0,0,7571,0,4480,179,0,0,0,1262,0,143,475,1,0,0,6321,1250,71423,13288,58135,
